	Hotel	Location	Code	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
10925	Hyatt Regency Baltimore Inner Harbor	Baltimore 	MD	$229	4.0	Very good	100	81	19
10926	Residence Inn by Marriott Baltimore Downtown/Inner Harbor	Baltimore 	MD	$125	4.5	Excellent	100	136	26
10927	Hampton Inn Baltimore Bayview Campus	Baltimore 	MD	$105	4.5	Excellent	NA	NA	NA
10928	Sagamore Pendry Baltimore	Baltimore 	MD	$295	4.5	Excellent	96	99	42
10929	Homewood Suites by Hilton Baltimore	Baltimore 	MD	$144	4.5	Excellent	100	70	17
10930	Holiday Inn Express Baltimore-Downtown	Baltimore 	MD	$99	4.0	Very good	88	36	16
10931	1840s Carrollton Inn	Baltimore 	MD	$144	5.0	Excellent	99	69	28
10932	Admiral Fell Inn	Baltimore 	MD	$125	4.5	Excellent	98	104	43
10933	Courtyard Baltimore Downtown/Inner Harbor	Baltimore 	MD	$135	4.0	Very good	100	72	13
10934	Hotel Revival	Baltimore 	MD	$83	4.5	Excellent	100	81	30
10935	Hampton Inn Baltimore-Downtown-Convention Center	Baltimore 	MD	$124	4.5	Excellent	94	45	8
10936	Staybridge Suites Baltimore - Inner Harbor	Baltimore 	MD	$105	4.5	Excellent	100	129	42
10937	Hilton Garden Inn Baltimore Inner Harbor	Baltimore 	MD	$139	4.0	Very good	100	74	17
10938	Home2 Suites by Hilton Baltimore Downtown	Baltimore 	MD	$101	4.0	Very good	99	99	28
10939	Hotel Indigo Baltimore Downtown	Baltimore 	MD	$104	4.5	Excellent	100	86	26
10940	The Ivy Hotel	Baltimore 	MD	$429	5.0	Excellent	97	55	15
10941	Wilson House Bed and Breakfast	Baltimore 	MD	NA	4.5	Excellent	62	89	20
10942	Lord Baltimore Hotel	Baltimore 	MD	$127	4.0	Very good	100	137	20
10943	Sleep Inn & Suites Downtown Inner Harbor	Baltimore 	MD	$89	4.5	Excellent	90	39	20
10944	Pier 5 Hotel Baltimore, Curio Collection by Hilton	Baltimore 	MD	$153	4.0	Very good	100	80	34
10945	Hampton Inn & Suites Baltimore Inner Harbor	Baltimore 	MD	$107	4.5	Excellent	100	135	30
10946	SpringHill Suites Baltimore Downtown/Inner Harbor	Baltimore 	MD	$99	4.0	Very good	100	139	27
10947	Fairfield Inn & Suites Baltimore Downtown/Inner Harbor	Baltimore 	MD	$93	4.0	Very good	100	74	29
10948	Gramercy Mansion	Baltimore 	MD	$173	4.5	Excellent	NA	NA	NA
10949	Inn at Henderson's Wharf	Baltimore 	MD	$179	5.0	Excellent	87	49	32
10950	Rachael's Dowry Bed and Breakfast	Baltimore 	MD	$159	5.0	Excellent	91	30	8
10951	Radisson Hotel Baltimore Downtown-Inner Harbor	Baltimore 	MD	$95	3.0	Average	100	142	20
10952	Holiday Inn Baltimore-Inner Harbor	Baltimore 	MD	$84	4.0	Very good	98	63	15
10953	BWI Airport Inn & Suites	Baltimore 	MD	$81	3.0	Average	NA	NA	NA
10954	Hotel RL Baltimore Inner Harbor by Red Lion	Baltimore 	MD	$99	4.0	Very good	100	143	38
10955	Best Western Plus Hotel & Conference Center	Baltimore 	MD	$89	3.5	Very good	NA	NA	NA
10956	Mt. Washington Conference Center	Baltimore 	MD	$101	3.5	Very good	55	10	4
10957	Quality Inn Near Pimlico Racetrack	Baltimore 	MD	$76	3.5	Very good	39	29	1
10958	Renaissance Baltimore Harborplace Hotel	Baltimore 	MD	$159	4.0	Very good	100	127	37
