	Hotel	Location	State	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
146	Best Western Plus Island Palms Hotel & Marina	San Diego 	CA	$129	4.5	Excellent	61	45	9
147	Hyatt Regency La Jolla at Aventine	La Jolla 	CA	$159	4.0	Very good	67	94	4
148	The Lafayette Hotel, Swim Club & Bungalows	San Diego 	CA	$109	4.0	Very good	77	26	5
149	Porto Vista Hotel in Little Italy	San Diego 	CA	$109	3.5	Very good	93	102	14
150	The Dana on Mission Bay	San Diego 	CA	$159	4.0	Very good	59	13	5
151	Found Hotel San Diego	San Diego 	CA	$79	4.5	Excellent	92	102	14
152	Best Western San Diego/Miramar Hotel	San Diego 	CA	$88	4.0	Very good	36	27	2
153	Best Western Yacht Harbor Hotel	San Diego 	CA	$112	4.0	Very good	75	18	0
154	Hilton San Diego Bayfront	San Diego 	CA	$310	4.0	Very good	80	318	86
155	The Westin San Diego Gaslamp Quarter	San Diego 	CA	$199	4.5	Excellent	100	239	67
156	Holiday Inn & Suites Orlando - International Dr S	Orlando 	FL	$95	5.0	Excellent	NA	NA	NA
157	Holiday Inn Resort Orlando-Lake Buena Vista	Orlando 	FL	$86	4.0	Very good	69	48	7
158	Caribe Royale Orlando	Orlando 	FL	$173	4.0	Very good	54	19	1
159	The Grove Resort Orlando	Orlando 	FL	$139	4.5	Excellent	NA	NA	NA
160	Best Western Orlando Gateway Hotel	Orlando 	FL	$119	4.0	Very good	79	132	39
161	Holiday Inn Orlando - Disney Springs Area	Orlando 	FL	$151	4.5	Excellent	78	113	15
162	Staybridge Suites Lake Buena Vista	Orlando 	FL	$110	4.5	Excellent	72	79	9
163	Marriott's Grande Vista	Orlando 	FL	$269	4.5	Excellent	54	25	3
164	Hilton Grand Vacations at Tuscany Village	Orlando 	FL	$114	4.5	Excellent	76	65	11
165	Hawthorn Suites by Wyndham Orlando Lake Buena Vista	Orlando 	FL	$92	4.5	Excellent	77	107	11
166	Hilton Grand Vacations at SeaWorld	Orlando 	FL	$102	4.5	Excellent	75	23	4
167	Universal's Aventura Hotel	Orlando 	FL	$169	4.5	Excellent	85	128	39
168	Homewood Suites by Hilton Orlando Theme Parks	Orlando 	FL	$122	4.5	Excellent	74	20	4
169	StaySky Suites I-Drive Orlando	Orlando 	FL	$97	4.0	Very good	89	33	14
170	Holiday Inn Express & Suites Orlando At Seaworld	Orlando 	FL	$86	4.5	Excellent	84	35	4
